timestamp,target,port,status
2025-05-09 11:45:41,127.0.0.1,5000/tcp,open
2025-05-09 11:45:47,127.0.0.1,5000/tcp,open
2025-05-09 11:46:27,127.0.0.1,5000/tcp,open
2025-05-09 11:51:28,45.33.32.156,22/tcp,open
2025-05-09 11:51:28,45.33.32.156,25/tcp,filtered
2025-05-09 11:51:28,45.33.32.156,80/tcp,open
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,9/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,22/tcp,open
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,25/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,79/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,80/tcp,open
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,179/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,389/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,513/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,543/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,631/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,990/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,1028/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,1433/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,1900/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,2000/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,3000/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,4899/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,5101/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,5432/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,5631/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,8000/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,8008/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,8009/tcp,filtered
2025-05-09 11:53:23,scanme.nmap.org,45.33.32.156,9999/tcp,filtered
127.0.0.1,127.0.0.1,5000/tcp,open,2025-05-09 11:58:26
127.0.0.1,127.0.0.1,5000/tcp,open,2025-05-09 12:00:55
127.0.0.1,127.0.0.1,5000/tcp,open,2025-05-09 12:01:01
127.0.0.1,127.0.0.1,5000/tcp,open,2025-05-09 12:01:34
127.0.0.1,127.0.0.1,5000/tcp,open,2025-05-09 13:17:51
127.0.0.1,127.0.0.1,5000/tcp,open,2025-05-11 01:40:16
127.0.0.1,127.0.0.1,5000/tcp,open,2025-05-11 01:40:51
http://testphp.vulnweb.com,44.228.249.3,80/tcp,open,2025-05-13 23:23:57
http://testphp.vulnweb.com,44.228.249.3,80/tcp,open,2025-05-13 23:26:23
http://testphp.vulnweb.com,44.228.249.3,80/tcp,open,2025-05-13 23:49:41
